Algoritmo,Max_repeticiones,Longitud,Tiempo
2,4,1093,0.03591012954711914
2,4,1446,0.06392741203308105
0,4,1191,0.09589147567749023
0,5,1027,0.0697932243347168
0,5,1575,0.16741657257080078
0,4,1064,0.07435274124145508
0,5,1304,0.11444973945617676
2,4,1407,0.05881071090698242
2,6,1557,0.07657885551452637
1,6,1699,0.005863189697265625
0,5,1101,0.07971882820129395
2,4,1424,0.06351590156555176
2,4,1123,0.03759884834289551
1,6,1698,0.005881786346435547
1,5,1716,0.005936145782470703
1,5,1380,0.004673480987548828
0,4,1106,0.08203268051147461
2,6,1516,0.07063817977905273
0,6,1199,0.09698104858398438
1,5,1312,0.0044116973876953125
0,4,1024,0.06940841674804688
0,4,1326,0.11803746223449707
1,6,1777,0.006151676177978516
0,5,1661,0.18843483924865723
0,5,1327,0.11832642555236816
2,7,1643,0.0845944881439209
1,5,1211,0.004049062728881836
0,5,1607,0.17710018157958984
0,4,1010,0.06694602966308594
1,5,1106,0.0037331581115722656
2,4,1471,0.06561779975891113
0,6,1645,0.18453359603881836
0,5,1069,0.07529044151306152
2,5,1668,0.08567118644714355
0,5,1090,0.07721734046936035
1,5,1543,0.0052530765533447266
1,6,1576,0.005425214767456055
2,5,1059,0.034067630767822266
0,5,1761,0.20995521545410156
0,4,1413,0.13496685028076172
0,4,1242,0.10291409492492676
1,5,1544,0.005379199981689453
1,5,1436,0.0048787593841552734
2,5,1651,0.08375787734985352
1,5,1373,0.004677534103393555
0,5,1375,0.12722516059875488
0,5,1345,0.1217505931854248
1,4,1293,0.004342794418334961
0,5,1221,0.09848999977111816
1,6,1793,0.006371498107910156
2,6,1696,0.08651018142700195
2,5,1606,0.08005928993225098
1,5,1396,0.004728555679321289
0,6,1617,0.17683029174804688
0,5,1538,0.16022348403930664
2,5,1323,0.05390620231628418
2,5,1257,0.04786944389343262
2,5,1256,0.045652151107788086
0,4,1044,0.07157588005065918
1,6,1673,0.005746603012084961
0,5,1788,0.2131645679473877
1,4,1104,0.0036776065826416016
1,5,1726,0.005930900573730469
0,6,1400,0.13254427909851074
0,5,1304,0.11561775207519531
1,5,1702,0.005858421325683594
0,6,1680,0.1928389072418213
1,5,1383,0.004689455032348633
1,4,1119,0.003692626953125
2,6,1662,0.08342719078063965
1,5,1690,0.005845785140991211
1,5,1638,0.005632162094116211
0,4,1326,0.12051987648010254
2,7,1768,0.09635353088378906
1,5,1589,0.00546717643737793
2,6,1349,0.05434846878051758
0,4,1146,0.08735203742980957
1,5,1336,0.004500389099121094
2,5,1443,0.06241250038146973
1,5,1368,0.004626750946044922
0,5,1785,0.21513748168945312
1,6,1165,0.003896474838256836
0,5,1709,0.196122407913208
2,5,1100,0.03780198097229004
1,4,1187,0.0039446353912353516
0,5,1282,0.11051058769226074
0,6,1720,0.20105314254760742
2,5,1644,0.08156657218933105
0,4,1384,0.1284501552581787
2,5,1490,0.06737470626831055
0,5,1420,0.13472342491149902
0,6,1789,0.21792817115783691
